"","lon","lat"
"2568",NA,NA
"2569",NA,NA
"2570",-120.8024357,38.3929675
"2571",15.0088776,53.3391166
"2572",-116.55978,43.5788175
"2573",-74.0059728,40.7127753
"2574",-118.2436849,34.0522342
"2575",-99.5075519,27.5035613
"2576",NA,NA
"2577",-82.9000751,32.1656221
"2578",-95.031581,37.3366655
"2579",NA,NA
"2580",-122.3320708,47.6062095
"2581",-83.2784851,30.8327022
"2582",-74.0059728,40.7127753
"2583",-88.0398912,30.6953657
"2584",NA,NA
"2585",NA,NA
"2586",-97.7430608,30.267153
"2587",-87.6297982,41.8781136
"2588",-97.7430608,30.267153
"2589",-83.3671432,40.2364486
"2590",-88.9936873,40.4842027
"2591",-77.0368707,38.9071923
"2592",-122.8013332,45.4887993
"2593",-77.7952712,38.7134516
"2594",NA,NA
"2595",-122.6587185,45.5122308
"2596",-81.5157535,27.6648274
"2597",-119.4179324,36.778261
"2598",-119.4179324,36.778261
"2599",-73.8648268,40.8447819
"2600",-75.977985,36.8529263
"2601",NA,NA
"2602",-95.712891,37.09024
"2603",-117.2423369,33.2024551
"2604",-71.2079809,46.8138783
"2605",-84.3879824,33.7489954
"2606",NA,NA
"2607",-81.8540265,26.537511
"2608",-74.0059728,40.7127753
"2609",NA,NA
"2610",-90.1994042,38.6270025
"2611",-79.3831843,43.653226
"2612",-95.1902986,30.0575359
"2613",NA,NA
"2614",-119.8138027,39.5296329
"2615",NA,NA
"2616",-118.2436849,34.0522342
"2617",-80.3582261,27.2730492
"2618",-117.1610838,32.715738
"2619",-117.1817377,46.7297771
"2620",5.291266,52.132633
"2621",-106.346771,56.130366
"2622",-79.6441198,43.5890452
"2623",-79.6441198,43.5890452
"2624",-97.5164276,35.4675602
"2625",NA,NA
"2626",-81.6943605,41.49932
"2627",-95.712891,37.09024
"2628",-115.1175013,36.1988592
"2629",-107.2902839,43.0759678
"2630",-97.4394777,35.2225668
"2631",-117.3505939,33.1580933
"2632",-84.5120196,39.1031182
"2633",-99.9018131,31.9685988
"2634",-77.0368707,38.9071923
"2635",NA,NA
"2636",-122.272747,37.8715926
"2637",-122.272747,37.8715926
"2638",NA,NA
"2639",-82.6402915,27.7676008
"2640",-82.6402915,27.7676008
"2641",NA,NA
"2642",-74.0016136,40.6546286
"2643",NA,NA
"2644",NA,NA
"2645",-118.2436849,34.0522342
"2646",NA,NA
"2647",-77.0909809,38.8816208
"2648",-71.0588801,42.3600825
"2649",NA,NA
"2650",-117.8311428,33.7174708
"2651",NA,NA
"2652",-106.346771,56.130366
"2653",-106.346771,56.130366
"2654",-97.4780954,35.6528323
"2655",-74.5365544,41.6090629
"2656",-77.0368707,38.9071923
"2657",-82.907123,40.4172871
"2658",-98.9911611,31.7093197
"2659",NA,NA
"2660",-73.9441579,40.6781784
"2661",-117.5860889,47.4905928
"2662",-117.5860889,47.4905928
"2663",NA,NA
"2664",-118.2436849,34.0522342
"2665",-85.6023643,44.3148443
"2666",-96.7181182,32.9767991
"2667",-115.1398296,36.1699412
"2668",-95.3010624,32.3512601
"2669",-83.0457538,42.331427
"2670",-87.6297982,41.8781136
"2671",-121.4943996,38.5815719
"2672",-95.712891,37.09024
"2673",-95.712891,37.09024
"2674",-90.0715323,29.9510658
"2675",-87.6297982,41.8781136
"2676",-88.0398912,30.6953657
"2677",-112.0740373,33.4483771
"2678",-122.0307963,36.9741171
"2679",-87.6297982,41.8781136
"2680",NA,NA
"2681",NA,NA
"2682",-96.7969879,32.7766642
"2683",NA,NA
"2684",-95.712891,37.09024
"2685",-95.712891,37.09024
"2686",-95.712891,37.09024
"2687",-118.1541632,34.6867846
"2688",-92.2243153,34.8150907
"2689",-122.2711137,37.8043637
"2690",-122.2711137,37.8043637
"2691",-81.091203,32.0808989
"2692",-95.712891,37.09024
"2693",-91.1362537,40.416433
"2694",-123.1207375,49.2827291
"2695",-71.0588801,42.3600825
"2696",-120.7401385,47.7510741
"2697",-96.6388833,32.912624
"2698",-96.1141664,35.9987007
"2699",-87.6297982,41.8781136
"2700",-87.6297982,41.8781136
"2701",-120.7401385,47.7510741
"2702",-120.7401385,47.7510741
"2703",-114.0708459,51.0486151
"2704",-94.4318776,39.0183132
"2705",-98.466836,29.483264
"2706",-112.0740373,33.4483771
"2707",NA,NA
"2708",-117.0841955,32.6400541
"2709",-111.0937311,34.0489281
"2710",NA,NA
"2711",-121.822098,36.6149217
"2712",-97.7430608,30.267153
"2713",-118.2436849,34.0522342
"2714",NA,NA
"2715",-84.5120196,39.1031182
"2716",-102.552784,23.634501
"2717",-99.9018131,31.9685988
"2718",-99.9018131,31.9685988
"2719",-97.1909219,37.6462861
"2720",-79.3831843,43.653226
"2721",-114.7420408,44.0682019
"2722",-93.2529989,37.2101063
"2723",-118.2436849,34.0522342
"2724",-83.5378674,41.6528052
"2725",-81.655651,30.3321838
"2726",-81.3578859,41.1536674
"2727",-78.9853813,36.025609
"2728",-99.9018131,31.9685988
"2729",-82.907123,40.4172871
"2730",-73.9841161,40.7317696
"2731",-81.6290241,41.5420442
"2732",NA,NA
"2733",-83.7430378,42.2808256
"2734",-110.9747108,32.2226066
"2735",-75.1652215,39.9525839
"2736",-95.7150582,37.0901287
"2737",-88.7878678,43.7844397
"2738",-82.9987942,39.9611755
"2739",-90.0715323,29.9510658
"2740",-122.3320708,47.6062095
"2741",-95.712891,37.09024
"2742",53.688046,32.427908
"2743",-97.9413941,29.8832749
"2744",NA,NA
"2745",NA,NA
"2746",-80.109906,26.288655
"2747",-121.4943996,38.5815719
"2748",NA,NA
"2749",-79.3831843,43.653226
"2750",NA,NA
"2751",-82.907123,40.4172871
"2752",-77.0368707,38.9071923
"2753",-120.5542012,43.8041334
"2754",-73.9441579,40.6781784
"2755",-97.7430608,30.267153
"2756",51.5310398,25.2854473
"2757",-111.0937311,34.0489281
"2758",-1.553621,47.218371
"2759",120.9842195,14.5995124
"2760",-149.0729714,62.4113634
"2761",NA,NA
"2762",-79.9958864,40.4406248
"2763",76.5761714,33.778175
"2764",-97.3307658,32.7554883
"2765",NA,NA
"2766",-73.6742323,40.7422572
"2767",-95.712891,37.09024
"2768",-99.9018131,31.9685988
"2769",-79.9310512,32.7764749
"2770",144.793731,13.444304
"2771",-123.0262077,44.9901194
"2772",NA,NA
"2773",-95.712891,37.09024
"2774",-95.712891,37.09024
"2775",-95.712891,37.09024
"2776",-91.8318334,37.9642529
"2777",-95.712891,37.09024
"2778",-81.6943605,41.49932
"2779",-79.0192997,35.7595731
"2780",-75.1652215,39.9525839
"2781",-122.3320708,47.6062095
"2782",NA,NA
"2783",-81.5157535,27.6648274
"2784",-122.4194155,37.7749295
"2785",-99.9018131,31.9685988
"2786",-80.8431267,35.2270869
"2787",-86.158068,39.768403
"2788",NA,NA
"2789",-106.346771,56.130366
"2790",-92.4273785,34.9570324
"2791",-77.9962512,38.4729632
"2792",-90.0715323,29.9510658
"2793",NA,NA
"2794",-1.829833,52.4750743
"2795",-74.0059728,40.7127753
"2796",-71.229367,42.377357
"2797",-80.256595,26.1669711
"2798",-74.297333,4.570868
"2799",-122.6587185,45.5122308
"2800",-78.6568942,37.4315734
"2801",NA,NA
"2802",NA,NA
"2803",-77.0368707,38.9071923
"2804",-95.3698028,29.7604267
